"country","lat","diagnosis","study_no","url","pubMedId","registry_ID","site_name","enrolment","pub_year","drugs","pub_title","region","lon","status","authors","other_drugs","t_design","multiRegional","diagnosticMethod","hiv_co_infection","disease","otherCountries"
India (IND),25.612677,,"265",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5371363/,28355259,CTRI/2016/05/006958,"Rajendra Memorial Research Institute of Medical Sciences, Patna, India",50,2017,Amphotericin B - formulation unknown,To evaluate efficacy and safety of amphotericin B in two different doses in the treatment of post kala-azar dermal leishmaniasis (PKDL). ,India Subcontinent,85.158875,Published,"Vidya Nand Rabi Das, Nyamat Ali Siddiqui, Biplab Pal, Chandra Shekhar Lal, Neena Verma, Ashish Kumar, Rakesh Bihari Verma, Dhirendra Kumar, Pradeep Das, Krishna Pandey  ","",RCT,0,Mixed,No,pkdl,
India (IND),25.613897,Spleen/bone,"67",http://www.ncbi.nlm.nih.gov/pubmed/21036835,21036834,-9,"Balaji Uthan Sansthan, Patna, India",230,2010,Amphotericin B deoxycholate,Improving outcome of treatment of kala-azar by supplementation of amphotericin B with physiologic saline and potassium chloride.,India Subcontinent,85.139591,Published,"Thakur CP, Kumar A, Mitra DK, Roy A, Sinha AK, Ranjan A.",Amphotericin B,Comparative,0,Parasitological,No,vl,
Bangladesh (BGD),24.742748,Serological,"82",http://www.ncbi.nlm.nih.gov/pubmed/21734128,21734127,-9,"Mymensingh District, Bangladesh",977,2011,Miltefosine,Phase IV trial of miltefosine in adults and children for treatment of visceral leishmaniasis (kala-azar) in Bangladesh.,India Subcontinent,90.408589,Published,"Rahman M, Ahmed BN, Faiz MA, Chowdhury MZ, Islam QT, Sayeedur R, Rahman MR, Hossain M, Bangali AM, Ahmad Z, Islam MN, Mascie-Taylor CG, Berman J, Arana B.",Miltefosine,Single Group,0,Serological,No,vl,
India (IND),25.464987,Spleen/bone,"155",http://www.ncbi.nlm.nih.gov/pubmed/9251374,9251373,-9,"IOC Hospital, Barauni, India",54,1996,Roxithromycin,Experience with roxithromycin in visceral leishmaniasis in north Bihar.,India Subcontinent,85.988148,Published,"Lal SK, Lal R, Lal S, Lal R, Lal BN.",Roxithromycin,Single Group,0,Parasitological,Unspecified,vl,
United Kingdom,52.881574,,"244",https://clinicaltrials.gov/ct2/show/NCT03929016,,NCT03929016,United Kingdom - site unknown,56,,DNDI-0690,Single Oral Dose Escalation Study of DNDI-0690 in Healthy Male Subjects,Europe,-1.143834,Active,Sharan Sidhu,"",Dose finding,0,Unspecified,No,vl,
India (IND),26.118589,Spleen/bone,"76",http://www.ncbi.nlm.nih.gov/pubmed/12135285,12135284,-9,"Kala-azar Medical Research Center, Rambag Road , Muzaffarpur,  Bihar -842001",84,2002,Liposomal Amphotericin B (L-AmB),Low-dose liposomal amphotericin B in refractory Indian visceral leishmaniasis: a multicenter study.,India Subcontinent,85.400719,Published,"Sundar S, Jha TK, Thakur CP, Mishra M, Singh VR, Buffels R.",Liposomal Amphotericin B,Dose finding,1,Parasitological,No,vl,
Ethiopia (ETH),12.589413,Spleen/bone/lymph,"106",http://www.ncbi.nlm.nih.gov/pubmed/22724032,22724032,NCT00255570,"Gondar University Hospital, Amhara State, Ethiopia",972,2012,Sodium stibogluconate,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,37.44205,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Sudan, Kenya"
Ethiopia (ETH),12.589413,Spleen/bone/lymph,"106",http://www.ncbi.nlm.nih.gov/pubmed/22724032,22724032,NCT00255570,"Gondar University Hospital, Amhara State, Ethiopia",972,2012,Paromomycin,Sodium stibogluconate (SSG) & paromomycin combination compared to SSG for visceral leishmaniasis in East Africa: a randomised controlled trial.,Eastern Africa,37.44205,Published,"Musa A, Khalil E, Hailu A, Olobo J, Balasegaram M, Omollo R, Edwards T, Rashid J, Mbui J, Musa B, Abuzaid AA, Ahmed O, Fadlalla A, El-Hassan A, Mueller M, Mucee G, Njoroge S, Manduku V, Mutuma G, Apadet L, Lodenyo H, Mutea D, et al.",Sodium stibogluconate; Paromomycin,Comparative,1,Parasitological,Yes,vl,"Uganda, Sudan, Kenya"
India (IND),26.118677,,"239",,,CTRI/2017/03/007993,"Kala Azar Medical Research Center, Bihar, India",48,,Liposomal Amphotericin B (L-AmB),A comparative study to monitor the safety of Amphotericin 50mg per vial A and Ambisome (amphotericin b) 50 mg per vial B in 48 patients,India Subcontinent,85.400933,Unknown,Kirki Patel,"",Comparative,1,Unspecified,Yes,vl,
Bangladesh (BGD),24.742748,Bone/serological,"146",https://www.ncbi.nlm.nih.gov/pubmed/1645930,1645929,-9,"Mymensingh District, Bangladesh",1273,1991,Sodium stibogluconate,Positive response to sodium antimony gluconate administration in visceral leishmaniasis seropositive patients.,India Subcontinent,90.408589,Published,"Chowdhury S, Haque F, al-Masum A, el Harith A, Karim E.",Sodium stibogluconate,Single Group,0,Mixed,Unspecified,vl,
